"","sample.ID","label","pair","include","farmer","condition","compartment","farmer2","variete","herbicides","fongicides","insecticides","surface..Ha.","N..kg.Ha.","P","K","rang..cm.","date.semis","labour","travail.superficiel..dechaumeuse..griffes..disques..","binage","irrigation","Rotation..1","adventices","NO3","NH4","Argile","Limonsf","Limonsg","Sablesf","Sablesg","COrga","N","CN","MatOrga","pH","CaCO3","CEC"
"Sample1","Sample 1","ROUXmaize+beanbulk","P1",1,"ROUX","maize+bean","bulk","Ro","PO725+Alaric","oui","non","non","5","122,3","45","300 NA",120,"03/05/2017","non","non","2","oui",NA,"beaucoup",8.2066666667,3.88,197,280,136,185,202,13,1.26,10.3,22.5,5.88,0,8.11
"Sample2","Sample 2","ROUXmaize+beanbean-rhizo","P2",1,"ROUX","maize+bean","bean-rhizo","Ro","PO725+Alaric","oui","non","non","5","122,3","45","300 NA",120,"03/05/2017","non","non","2","oui",NA,"beaucoup",8.2066666667,3.88,197,280,136,185,202,13,1.26,10.3,22.5,5.88,0,8.11
"Sample3","Sample 3","ROUXmaize+beanmaize-rhizo","P3",1,"ROUX","maize+bean","maize-rhizo","Ro","PO725+Alaric","oui","non","non","5","122,3","45","300 NA",120,"03/05/2017","non","non","2","oui",NA,"beaucoup",8.2066666667,3.88,197,280,136,185,202,13,1.26,10.3,22.5,5.88,0,8.11
"Sample4","Sample 4","ROUXmaizebulk","P4",1,"ROUX","maize","bulk","Ro","PO725","oui","non","non","55","230",NA,NA,80,NA,"oui","oui","1","oui",NA,"non",123.9,8.99,276,267,94,127,236,19.9,2.09,9.49,34.4,5.45,0,10.7
"Sample5","Sample 5","ROUXmaizemaize-rhizo","P5",1,"ROUX","maize","maize-rhizo","Ro","PO725","oui","non","non","55","230",NA,NA,80,NA,"oui","oui","1","oui",NA,"non",123.9,8.99,276,267,94,127,236,19.9,2.09,9.49,34.4,5.45,0,10.7
"Sample6","Sample 6","ROUXbeanbulk","P6",1,"ROUX","bean","bulk","Ro","Lapujole","oui","non","non","1,5","122,3","45","300 NA",120,"02/05/2017","non","non","1","oui",NA,"beaucoup",6.48,2.44,186,283,133,185,213,10.4,0.996,10.4,17.9,6.11,0,6.62
"Sample7","Sample 7","ROUXbeanbean-rhizo","P7",1,"ROUX","bean","bean-rhizo","Ro","Lapujole","oui","non","non","1,5","122,3","45","300 NA",120,"02/05/2017","non","non","1","oui",NA,"beaucoup",6.48,2.44,186,283,133,185,213,10.4,0.996,10.4,17.9,6.11,0,6.62
"Sample8","Sample 8","GAILLANOUmaizebulk","P8",1,"GAILLANOU","maize","bulk","Ga","population1","non","non","non","0,4","3,5","2","1",80,"01/05-03/06","non","non","4","non","oignon","beaucoup",15.3,3.7833333333,274,373,126,123,104,42.1,3.4,12.4,72.8,6.1,0,14.5
"Sample9","Sample 9","GAILLANOUmaizemaize-rhizo","P9",1,"GAILLANOU","maize","maize-rhizo","Ga","population1","non","non","non","0,4","3,5","2","1",80,"01/05-03/06","non","non ","4","non","oignon","beaucoup",15.3,3.7833333333,274,373,126,123,104,42.1,3.4,12.4,72.8,6.1,0,14.5
"Sample10","Sample 10","GAILLANOUmaize+beanbulk","P10",1,"GAILLANOU","maize+bean","bulk","Ga","population1","non","non","non","5","3,5","2","1",80,"01/05-03/06","oui","oui","4","non","oignon","beaucoup",14,3.1266666667,291,359,125,125,100,41,3.3,12.4,70.9,6.22,0,14
