"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample19","Sample20","Sample21","Sample22","Sample23","Sample24","Sample25","Sample26","Sample27","Sample28","Sample29","Sample30","Sample31","Sample32","Sample33","Sample34","Sample35","Sample36","Sample37","Sample38","Sample39"
"OTU1",21812,8363,9130,6703,8298,5572,4777,4491,6208,2734,5058,4029,3862,582,4611,4142,1480,5244,3742,3159,3754,8194,6982,4360,15464,16377,7338,8462,14420,7349,8982,5498,5311,10049,6585,10340,14551,4754,9982
"OTU2",218,743,96,95,114,142,288,72,61,25,347,12083,474,64562,298,32,228,254,426,122,712,112,53,482,221,99,789,66,78,131,964,244,53,117,106,187,109,269,291
"OTU3",3492,4151,4324,266,625,1648,3192,903,873,252,1937,909,233,2897,1225,238,2310,282,2485,349,3599,897,788,605,1779,1035,1146,527,2169,1401,7058,860,7927,3409,1168,8191,7758,2962,449
"OTU4",3159,2976,802,2295,721,420,1370,3564,805,572,298,677,6189,558,2767,5793,1311,858,282,8778,3467,7529,6245,1075,1669,2909,1204,8683,5780,1811,4327,876,9392,1245,496,9379,1888,2381,1750
"OTU5",1419,1896,3997,2250,9583,73,160,31,790,14,17,13,22,25,43,33,35,31,105,39,781,52,42,59,49,20,78,53,104,278,393,5150,27,88,28,41,34,30,2769
"OTU6",5793,17244,11686,4397,12612,2852,9843,10184,19255,9293,22399,13827,701,1777,3477,2892,5627,8109,11245,2237,8326,1886,2036,4874,3415,3153,1873,1079,1570,4589,2468,1375,5841,3537,801,2270,6350,7980,7690
"OTU7",7823,2640,1214,13506,12231,12620,11724,267,278,627,420,83,3051,69,492,2049,1667,554,399,224,5653,187,181,220,107,96,242,619,170,20494,3304,6269,5057,9409,3854,997,445,1363,3642
"OTU8",113,124,73,266,263,41,18,11,10,11,14,7,951,299,772,97,79,1001,440,304,231,791,563,940,1191,668,621,2336,1543,956,817,1183,5,5,57,64,39,21,27
"OTU9",1696,249,729,677,2770,843,314,766,797,2130,708,1221,1955,126,1480,3663,804,4025,276,3004,1556,5026,4964,479,361,1285,630,5816,3171,1155,600,438,2410,565,7700,2022,1574,961,2266
"OTU10",74,12368,158,382,115,35,851,573,2737,27,1222,554,45,52,1654,301,515,463,7718,78,1503,275,206,6288,72,195,5922,60,61,67,206,46,62,50,37,69,51,45,290
"OTU11",527,259,139,86,81,164,683,1395,1502,1027,1226,1075,44,622,1358,1118,1074,6146,1096,14373,500,3198,2590,523,617,3196,145,2330,47,81,2896,46,58,77,2306,803,341,39,72
"OTU12",448,556,220,531,573,546,469,658,1060,923,610,830,914,248,1012,405,515,1167,678,1403,661,755,640,554,1204,1257,698,807,515,1046,1053,1294,365,813,1221,1269,1140,513,486
"OTU13",2649,1052,1004,490,942,1018,908,70,440,499,107,31,115,8,12,16,20,22,9,15,28,12,11,7,8,24,7,17,14,1026,510,2290,58,1184,1227,790,15,2,11
"OTU14",335,666,382,398,67,46,296,3060,544,82,232,207,144,154,736,114,375,204,156,131,62,248,195,1196,261,2203,1208,220,227,433,413,233,138,601,407,117,45,22,61
"OTU15",1052,569,391,364,95,113,77,1708,808,37,194,383,19,188,433,5,210,7,141,76,87,75,73,220,122,431,123,534,468,18,105,79,488,1582,290,70,70,10,12
"OTU16",393,447,352,385,233,127,553,381,832,145,2030,996,77,134,181,20,660,354,544,191,330,126,114,412,326,282,730,105,502,104,498,243,114,723,139,907,410,310,107
"OTU17",60,76,23,149,122,3,9,9,6,2,9,3,488,133,419,11,13,557,217,325,135,794,615,814,2006,1616,1128,2002,1300,196,209,230,2,6,8,11,11,2,8
"OTU18",555,550,547,607,471,357,466,495,371,420,683,645,1442,352,1141,500,485,1644,403,1152,611,1213,1206,1050,2406,3581,1806,1988,879,1628,1589,1824,392,818,1897,1634,1278,824,1015
"OTU19",511,807,544,241,261,227,551,251,168,99,572,360,236,223,194,95,239,438,351,271,223,233,204,264,316,318,441,278,397,420,751,702,128,642,233,564,297,341,210
"OTU20",471,459,266,728,625,213,222,152,277,142,239,180,316,70,334,185,167,745,349,330,276,283,181,131,450,489,344,211,227,323,601,490,16,38,285,481,891,467,542
"OTU21",592,523,542,332,720,365,389,970,442,283,352,366,133,69,891,619,163,364,243,195,853,431,369,276,816,1321,1137,39,299,712,1009,734,187,534,219,227,790,649,369
"OTU22",591,1027,516,747,680,662,1387,520,589,547,618,434,387,180,694,388,670,1475,812,557,597,401,346,450,1037,622,752,380,472,563,999,864,323,1315,656,1359,898,1132,675
"OTU23",341,691,48,96,122,503,480,20,239,10,975,325,30,1605,119,8,945,8,538,34,634,62,67,90,14,34,22,16,24,462,745,59,706,349,11,18,8,183,10
"OTU24",417,364,267,222,213,482,497,181,223,245,303,174,489,191,628,520,904,1221,433,501,400,344,296,247,335,348,219,399,241,529,548,627,201,356,979,742,669,356,381
"OTU25",544,551,344,444,432,395,372,313,413,299,369,269,990,184,1081,333,279,764,295,535,411,477,455,352,986,882,596,857,647,389,527,395,47,102,356,414,945,386,488
"OTU26",286,730,225,359,313,177,420,283,217,195,353,256,340,192,509,178,369,646,721,323,462,314,237,645,684,723,1150,375,285,359,655,354,61,140,370,412,446,304,246
"OTU27",182,111,78,334,309,76,51,185,220,118,198,299,185,27,231,301,256,220,64,252,137,280,174,87,231,281,189,300,238,890,597,560,42,77,436,404,1728,634,889
"OTU28",9,9,3,3,7,1,3,3,5,3,1,4,110,29,64,2,3,18,7,6,7,554,349,651,1451,1228,729,1479,1027,17,12,19,5,3,2,3,3,6,3
"OTU29",422,3995,2712,73,32,2744,834,18,41,13,284,12,20,62,17,13,3407,20,967,41,391,17,13,131,40,14,17,21,20,4377,1311,525,3280,5025,15,153,153,564,45
"OTU30",959,1107,2457,103,284,1273,914,121,2822,863,176,90,282,173,265,5740,224,419,101,514,139,166,151,94,1300,194,116,524,65,215,214,94,3724,278,793,1351,4119,190,886
"OTU31",1578,3350,4252,1072,2247,1887,935,845,48,11,274,50,24,15,23,12,20,29,19,22,76,15,9,12,64,16,11,29,78,1854,1953,2993,106,5299,1804,846,21,20,26
"OTU32",179,424,292,54,286,210,228,93,197,21,118,438,50,119,213,120,249,222,207,318,608,405,351,223,387,285,428,708,230,144,258,143,70,250,330,343,182,144,80
"OTU33",27,12,4,17,23,1615,4115,543,600,2815,186,60,7,8,258,4,17,2085,10,1,5,1,1,8,5,11,5,28,7,11,16,15,3,9,8,13,11,12,154
"OTU34",824,472,237,885,807,842,896,232,160,187,66,74,481,43,494,264,439,1728,832,994,1730,391,332,383,304,98,147,169,72,829,368,574,31,73,964,585,368,555,373
"OTU35",12,37,13,1681,302,13,26,101,17,84,411,14,58,30,30,3,171,40,105,237,120,9,13,24,4,5,13,3,5,25,16,86,4257,118,113,55,29,16,39
"OTU36",317,332,145,407,420,42,31,26,107,92,142,116,482,122,453,112,53,761,533,347,259,386,224,358,611,498,481,467,431,70,99,82,2,8,109,170,30,8,9
"OTU37",348,1261,652,60,34,1800,1081,212,565,31,2875,1109,28,430,79,155,286,81,593,63,475,142,109,122,374,120,222,96,116,112,653,149,495,410,221,168,272,313,77
"OTU38",247,210,97,375,311,1,2,8,10,4,3,4,282,58,280,42,50,1285,701,697,307,277,224,7,23,269,134,8,7,681,616,537,4,5,18,41,6,2,2
"OTU39",145,79,73,523,604,76,47,102,237,205,147,99,342,70,297,280,144,330,208,79,69,29,41,7,13,152,122,10,9,141,197,161,3,10,195,216,1260,505,639
"OTU40",851,149,252,30,47,714,239,1398,605,1235,302,417,102,85,293,84,218,165,67,88,95,93,92,126,310,382,62,36,29,173,354,134,731,431,72,71,487,183,52
"OTU41",38,115,21,86,90,41,158,587,539,440,307,196,128,68,124,102,362,164,128,60,25,119,88,35,151,84,53,353,166,102,55,132,10,7,57,34,166,107,67
"OTU42",854,712,609,588,551,597,1026,874,683,608,542,548,1054,165,1357,830,1023,1394,324,1018,613,704,561,190,350,1540,229,533,247,978,1224,1034,332,881,2860,2583,1620,777,838
"OTU43",680,177,208,686,367,510,279,15,18,13,89,14,164,12,60,227,57,729,322,160,392,232,168,6,9,29,12,14,9,4013,84,261,680,142,289,98,66,44,113
"OTU44",187,238,159,188,195,118,173,154,125,83,264,165,222,172,894,130,191,364,151,188,214,225,193,319,621,417,528,329,497,303,364,367,62,135,277,253,165,139,155
"OTU45",215,936,189,47,55,29,551,639,343,94,271,252,404,336,869,50,1850,674,1927,237,460,144,125,511,490,563,549,149,288,297,857,498,172,322,70,14,152,171,392
"OTU46",706,659,390,2013,2403,563,299,336,634,434,442,336,563,149,547,826,388,735,452,407,309,269,211,165,214,285,447,165,110,542,801,731,82,98,1386,1682,6179,2658,3179
"OTU47",214,217,124,244,191,152,135,100,175,137,377,286,274,77,281,75,53,456,154,195,124,216,166,251,684,454,529,458,348,177,304,239,30,43,146,308,374,220,243
"OTU48",263,266,206,146,400,262,686,710,451,387,176,177,141,58,229,244,687,111,99,233,241,76,66,74,112,76,116,31,65,350,606,604,230,1122,328,521,614,467,441
"OTU49",62,213,42,80,57,515,1145,1224,417,816,476,164,105,153,32,138,202,42,122,20,60,25,28,26,44,80,35,44,40,57,136,51,134,421,11,16,104,56,96
"OTU50",1461,595,333,1004,452,323,303,117,153,30,168,88,80,17,42,43,54,231,120,174,202,222,228,117,87,95,211,120,503,742,422,493,739,639,193,544,194,77,284
"OTU51",851,1147,339,356,331,307,316,1068,587,352,262,369,341,136,334,158,330,1520,229,325,533,225,235,115,148,115,133,328,135,233,598,515,53,769,880,657,1783,349,332
"OTU52",28,70,14,36,32,15,11,40,20,20,31,17,66,22,111,12,8,98,28,78,79,153,106,81,327,413,205,240,143,56,72,74,2,7,10,28,33,29,21
"OTU53",83,86,52,390,379,410,237,208,682,582,540,479,203,41,77,887,583,138,79,77,68,42,36,6,10,127,101,9,20,71,53,48,9,16,82,122,1078,436,515
"OTU54",429,123,82,65,119,60,141,48,52,19,74,80,235,17,239,5,565,149,1848,55,83,95,55,431,157,288,291,61,104,55,440,173,19,60,109,339,87,724,64
"OTU55",287,568,203,311,136,44,131,51,22,18,129,54,151,123,197,33,81,533,229,228,178,376,314,677,690,589,1651,635,630,285,441,424,129,71,96,244,152,137,142
"OTU56",384,284,241,340,258,145,129,534,378,447,209,168,220,25,211,75,73,269,185,197,173,139,106,217,161,124,345,104,101,92,227,273,36,186,253,415,206,154,127
"OTU57",490,632,488,116,126,100,593,1056,515,54,26,167,5,32,12,51,103,51,223,20,61,132,61,12,102,94,89,5,630,112,227,162,46,562,59,189,199,222,108
"OTU58",11,3,6,7,6,2,2,5,3,1,4,2,2,3,5,2,3,3,0,5,42,2,1,2,8,2,1,2,3,5,3,1,39,1,55,422,205,53,3089
"OTU59",211,223,155,148,122,74,171,390,757,95,1224,505,12,121,58,3,40,22,37,6,61,32,31,123,36,89,84,54,392,47,261,89,313,816,55,69,209,151,63
"OTU60",195,20,287,219,110,48,38,53,109,112,12,32,272,36,536,138,119,179,62,157,202,398,190,154,530,257,147,264,397,286,412,178,67,76,196,117,203,101,154
"OTU61",1620,956,596,208,204,812,843,817,633,591,596,274,439,403,798,270,972,911,844,572,450,639,508,430,974,997,473,308,232,456,806,509,194,573,614,878,878,621,391
"OTU62",75,45,37,110,101,30,27,212,180,99,151,149,317,66,1531,41,34,123,34,101,67,120,65,29,70,79,50,92,111,1208,671,433,15,28,46,50,486,155,224
"OTU63",105,104,101,110,67,43,47,81,49,53,106,94,275,88,355,35,51,336,110,263,130,297,320,165,639,934,259,454,141,230,206,210,11,22,247,292,243,100,205
"OTU64",10,9,20,8,20,16,8,122,122,349,50,64,27,10,13,6,24,10,10,15,21,13,12,2,18,25,13,4,22,361,16,33,6,172,753,88,5563,137,52
