"","Domain","Phylum","Class","Order","Family","Genus","Species"
"OTU1","bacteria","actinobacteria","actinobacteria","actinomycetales","micrococcaceae","arthrobacter","arthrobacter spp."
"OTU2","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","rhizobiaceae","rhizobium","rhizobium tropici"
"OTU3","bacteria","proteobacteria","gammaproteobacteria","pseudomonadales","pseudomonadaceae","pseudomonas","pseudomonas spp."
"OTU4","bacteria","proteobacteria","gammaproteobacteria","xanthomonadales","xanthomonadaceae","stenotrophomonas","stenotrophomonas rhizophila"
"OTU5","bacteria","proteobacteria","gammaproteobacteria","xanthomonadales","xanthomonadaceae","lysobacter","lysobacter concretionis"
"OTU6","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","sphingobacteriaceae","pedobacter","pedobacter nyackensis"
"OTU7","bacteria","proteobacteria","gammaproteobacteria","xanthomonadales","xanthomonadaceae","rhodanobacter","rhodanobacter spp."
"OTU8","archaea","thaumarchaeota","thaumarchaeota","nitrososphaerales","nitrososphaeraceae","candidatus nitrososphaera","candidatus nitrososphaera"
"OTU9","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","sphingobacteriaceae","pedobacter","pedobacter wanjuense"
"OTU10","bacteria","proteobacteria","gammaproteobacteria","xanthomonadales","xanthomonadaceae","stenotrophomonas","stenotrophomonas sp."
"OTU11","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","brucellaceae","mycoplana","mycoplana spp."
"OTU12","archaea","thaumarchaeota","thaumarchaeota","nitrososphaerales","nitrososphaeraceae","candidatus nitrososphaera","candidatus nitrososphaera"
"OTU13","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","chitinophagaceae","chitinophaga","chitinophaga spp."
"OTU14","bacteria","actinobacteria","actinobacteria","actinomycetales","nocardiaceae","rhodococcus","rhodococcus spp."
"OTU15","bacteria","actinobacteria","actinobacteria","actinomycetales","microbacteriaceae","frigoribacterium","frigoribacterium sp."
"OTU16","bacteria","proteobacteria","betaproteobacteria","burkholderiales","comamonadaceae","variovorax","variovorax paradoxus"
"OTU17","archaea","thaumarchaeota","thaumarchaeota","nitrososphaerales","nitrososphaeraceae","nitrososphaera","candidatus nitrososphaera gargensis"
"OTU18","bacteria","actinobacteria","actinobacteria","actinomycetales","intrasporangiaceae","knoellia","knoellia sinensis"
"OTU19","bacteria","actinobacteria","actinobacteria","actinomycetales","cellulomonadaceae","cellulomonas","cellulomonas spp."
